regime,note,model,model_label,rmse_x,rmse_y,mae_x,mae_y,r2_x,r2_y,mean_radial,median_radial,p95_radial,max_radial
extrap_theta_high,"steeper, near-vertical launches",physics,Physics-Informed Features,2.3431410270638133e-14,7.106669200568098e-14,1.8884197157398308e-14,5.94131202569237e-14,1.0,1.0,6.480227588548284e-14,6.063154672437747e-14,1.2816492296754294e-13,2.206117911819664e-13
extrap_theta_low,"flatter, near-horizontal launches",linear,Linear Regression,16.357035798369264,7.036929775118848,14.568827008849974,5.885667315474204,0.4157056047367851,-1.3555261899594258,16.51657322561126,15.781569006821094,29.23631515462865,42.37114080627524
extrap_theta_low,"flatter, near-horizontal launches",poly2,Polynomial Ridge (deg 2),5.220043253264739,4.612757026824596,3.903884576438134,3.629989849879897,0.9404926356510642,-0.012144830934854411,6.15045202313043,5.203398492020165,12.62418916573242,18.848995184971454
extrap_theta_low,"flatter, near-horizontal launches",forest,Random Forest,2.3438356337905506,5.950629438806058,1.7323188562080838,4.760702861765718,0.9880028851235699,-0.6844080806117321,5.167694484731508,4.1895222559728955,12.666096028284187,21.584757999963433
extrap_theta_low,"flatter, near-horizontal launches",mlp,Neural Network (MLP),1.5027550341307754,1.515720621945033,1.0415809307608606,1.1293930533308891,0.9950682745071714,0.8907151848394144,1.6097451611233995,1.1961922117166512,4.3780302151388675,7.449738132998962
extrap_theta_low,"flatter, near-horizontal launches",physics,Physics-Informed Features,2.244861886442011e-14,6.047449705043116e-14,2.1688157346433366e-14,5.022992373600321e-14,1.0,1.0,5.706462429081809e-14,5.326848785948927e-14,1.0857009406218832e-13,1.2312149344299963e-13
extrap_y0_high,launched from higher ground than any seen,linear,Linear Regression,11.136759712622649,11.717771118429052,7.9878167545463805,9.023659297801892,0.8986673117322246,0.4894077294158542,13.368967653945955,10.490118359550873,31.75666964284825,62.32546829862535
extrap_y0_high,launched from higher ground than any seen,poly2,Polynomial Ridge (deg 2),2.3051313461899308,1.9257029733399074,1.5757773448161405,1.3873980210220493,0.9956586658107637,0.986210046029051,2.280478481140832,1.6324244032619473,6.082387184579414,16.15501587235895
extrap_y0_high,launched from higher ground than any seen,forest,Random Forest,2.9736265860981,10.880731418486594,1.7400744873745084,9.616100122470574,0.9927755510361381,0.5597489553894801,10.23607992821582,9.989636318893059,17.9734262035144,25.79846239718384
extrap_y0_high,launched from higher ground than any seen,mlp,Neural Network (MLP),0.8100019294509101,0.9762500306969866,0.43516736937893,0.6022355932396474,0.9994639516392986,0.9964558969943962,0.8020263979783886,0.5059873518099505,2.2922181375725805,10.363019430073358
extrap_y0_high,launched from higher ground than any seen,physics,Physics-Informed Features,1.922830167654338e-14,8.490053876722523e-14,1.5634465944103228e-14,7.5574282942803e-14,1.0,1.0,7.898315428152437e-14,7.830336787919441e-14,1.3727457632030604e-13,2.0097183471152322e-13
extrap_all,every variable outside its training range at once,linear,Linear Regression,55.84762612762828,47.215065028876346,46.48463702383711,40.896221540204344,-1.3941268672285427,-0.4019342818387186,66.24254498965797,65.78009012580014,117.74119813647049,165.30040694448326
extrap_all,every variable outside its training range at once,poly2,Polynomial Ridge (deg 2),43.41736455861598,6.255555381441534,33.331762344372194,4.74122414040747,-0.44698704042597925,0.9753907590726429,34.03561379162755,26.636670363624404,90.33626637983099,143.74685865154342
extrap_all,every variable outside its training range at once,forest,Random Forest,27.090627651986278,57.414629926446,20.4693395604713,48.813433318822455,0.4366531640440725,-1.073058755251819,55.59050021135983,50.191169744501366,113.94150679773641,152.21305390805443
extrap_all,every variable outside its training range at once,mlp,Neural Network (MLP),13.89508255329981,36.328821899081255,11.074926216683048,28.414473231661084,0.8517959786693281,0.17001718498515883,32.69860448831065,28.50815116664669,73.29257564484067,101.3230135679924
extrap_all,every variable outside its training range at once,physics,Physics-Informed Features,7.067516508900162e-14,1.0581339184395193e-13,5.4998745141476843e-14,9.254536026404025e-14,1.0,1.0,1.2003306483498208e-13,1.1718571004216928e-13,1.9124180711723342e-13,2.9279938581042667e-13
