approach,t,mean,q25,q75
A_flow_map,0.508,0.3017118139028931,0.17374030050155667,0.4953353854592371
A_flow_map,0.512,0.30602177504154915,0.17546061548041691,0.5079077931153186
A_flow_map,0.516,0.3103042446506516,0.17723163911302603,0.52062031003674
A_flow_map,0.52,0.3145571576193985,0.17905436161425015,0.5334637260038821
A_flow_map,0.524,0.31877864206947815,0.18093000693791927,0.5429692317531941
A_flow_map,0.528,0.3229670128936172,0.18336908608594535,0.5498466940379224
A_flow_map,0.532,0.3271207644511679,0.1865773736426532,0.5556147725085675
A_flow_map,0.536,0.33123856288285236,0.18988493616053373,0.5612161464640101
A_flow_map,0.54,0.3353192385369785,0.1932945665301782,0.5666487184839346
A_flow_map,0.544,0.339361779003195,0.19680944780223072,0.5719109641004132
A_flow_map,0.548,0.34336532322295693,0.20043315181200688,0.5770019108836117
A_flow_map,0.552,0.3473291570895082,0.20416963549761177,0.5819211145006365
A_flow_map,0.556,0.35125271087176024,0.20802323488840768,0.5866686323268019
A_flow_map,0.56,0.3551355587094528,0.2119986567586695,0.5912449951670742
A_flow_map,0.5640000000000001,0.3589774203493944,0.2161009679581571,0.5956511776141684
A_flow_map,0.5680000000000001,0.362778165244542,0.22033558244803464,0.5998885675310802
A_flow_map,0.5720000000000001,0.36653781913862693,0.22470824608779824,0.6039589351019243
A_flow_map,0.5760000000000001,0.3702565733252433,0.22922501923709862,0.6078644018478085
A_flow_map,0.58,0.37393479691235953,0.233062309467495,0.6116074099558674
A_flow_map,0.584,0.3775730526424064,0.234870247646983,0.6151906922209912
A_flow_map,0.588,0.3811721170978052,0.2366885792811049,0.6186172428524309
A_flow_map,0.592,0.3847330064066222,0.2385230349485118,0.6218902893522922
A_flow_map,0.596,0.3882570087121355,0.240379319909535,0.6250132656306463
A_flow_map,0.6,0.3917457243645034,0.24226310096527945,0.6279897864830738
A_flow_map,0.604,0.3952011133791145,0.24417999410156227,0.6308236235212028
A_flow_map,0.608,0.39862554601321587,0.24613555285223043,0.6335186826153414
A_flow_map,0.612,0.40202184469165925,0.24813525733192812,0.6360789828806374
A_flow_map,0.616,0.4053932928963932,0.25018450390096963,0.6385086372142185
A_flow_map,0.62,0.40874357205334083,0.2522885954346838,0.6408118343703182
A_flow_map,0.624,0.4120765841100923,0.25445273217663217,0.6429928225432174
A_flow_map,0.628,0.41539614945963343,0.2566820031597763,0.6450558944137001
A_flow_map,0.632,0.4187056484441779,0.2619241298295605,0.6470053736033314
A_flow_map,0.636,0.4220077539331263,0.2680126928030066,0.6488456024719348
A_flow_map,0.64,0.42530439003947773,0.2743121992163715,0.6505809311868997
A_flow_map,0.644,0.42859692623255574,0.2761222552289781,0.6522157079881027
A_flow_map,0.648,0.4318864885807602,0.2754432291366058,0.65375427056903
A_flow_map,0.652,0.43517424968382723,0.27470952779780344,0.65520093849291
A_flow_map,0.656,0.4384616255812671,0.27392359407791567,0.6565600065620605
A_flow_map,0.66,0.4417503777551376,0.2730878514513808,0.6618576995610295
A_flow_map,0.664,0.4450426495713466,0.27220470716574596,0.665089497173577
A_flow_map,0.668,0.44834096698576786,0.27127655576046555,0.6672551080365472
A_flow_map,0.672,0.4516482225346725,0.2703057829616445,0.6692755893887232
A_flow_map,0.676,0.454967650855462,0.2692947699804805,0.6711525900935535
A_flow_map,0.68,0.45830279652732847,0.2682458982495571,0.6728878454021998
A_flow_map,0.684,0.46165747079808694,0.26716155463733815,0.6744831697705327
A_flow_map,0.6880000000000001,0.4650356921763853,0.26677978743735486,0.675940449940488
A_flow_map,0.6920000000000001,0.46844160670199236,0.26705235993473403,0.6772090186291176
A_flow_map,0.6960000000000001,0.4718793870164181,0.2673501884683257,0.6779799367362649
A_flow_map,0.7000000000000001,0.47535311494245847,0.2676753728956401,0.6787027836693084
A_flow_map,0.704,0.4788666591192602,0.268029945401834,0.6793811953347499
A_flow_map,0.708,0.4824235653131093,0.2684158717534536,0.6800187505100354
A_flow_map,0.712,0.48602698002617045,0.26883505300251886,0.6806189700481511
A_flow_map,0.716,0.4896796269714427,0.26928932770656744,0.6811853161259279
A_flow_map,0.72,0.49338385316568917,0.26978047473023387,0.6817211915041193
A_flow_map,0.724,0.49714176436325175,0.27031021669278904,0.682229938771055
A_flow_map,0.728,0.50095549571492,0.2708802241236911,0.6827148395453906
A_flow_map,0.732,0.5048277594405397,0.27149212038446036,0.683179113617139
A_flow_map,0.736,0.5087631303369642,0.27214748740993944,0.6856636616733205
A_flow_map,0.74,0.5127715722372721,0.2728478723150135,0.6981872811451404
A_flow_map,0.744,0.5168776007241892,0.27359479490393857,0.7052723954228965
A_flow_map,0.748,0.5211240800414217,0.2743897561082625,0.7086662988983867
A_flow_map,0.752,0.5255204134563987,0.27523424736560487,0.7105807237737292
A_flow_map,0.756,0.5300303011314698,0.27612976093491526,0.7116014081382811
A_flow_map,0.76,0.5346289974634182,0.2770778011238389,0.7242133099422272
A_flow_map,0.764,0.5393075215351132,0.2780798963800336,0.7370531401806337
A_flow_map,0.768,0.5440633027755799,0.2791376121702652,0.7401647359817867
A_flow_map,0.772,0.548896241607827,0.2802525645384234,0.7494374895788134
A_flow_map,0.776,0.5538073440489681,0.27934723955507834,0.7677243705832487
A_flow_map,0.78,0.5587982103916518,0.2768351492666891,0.7834946018187512
A_flow_map,0.784,0.5638708231826557,0.27520539958025486,0.792143814934274
A_flow_map,0.788,0.5690274520518239,0.27460638830694734,0.7981746194957466
A_flow_map,0.792,0.5742706091911842,0.27405587007903626,0.8041741321880719
A_flow_map,0.796,0.5796030289099663,0.2737079424017931,0.8085842403435978
A_flow_map,0.8,0.5850276595715875,0.2748713354856045,0.8089476176685404
A_flow_map,0.804,0.5905476623163253,0.2761793452005787,0.8091630936207455
A_flow_map,0.808,0.5961664136690608,0.2776410504287074,0.8092332536072312
A_flow_map,0.812,0.6018875104055214,0.2828928998634198,0.8091606680118925
A_flow_map,0.8160000000000001,0.607714775691468,0.2927476710260746,0.808947889755617
A_flow_map,0.8200000000000001,0.613652265853949,0.3029709352006798,0.8085974520966099
A_flow_map,0.8240000000000001,0.619704277345168,0.3148411720229529,0.8081118666554723
A_flow_map,0.8280000000000001,0.6258753535911546,0.31846310744945183,0.8107032966466354
A_flow_map,0.8320000000000001,0.632170291516198,0.32043898205968474,0.8240025293349365
A_flow_map,0.836,0.6385941476186097,0.32244442610688,0.8376975205337204
A_flow_map,0.84,0.6451522435527731,0.3244810419167781,0.8518090157493312
A_flow_map,0.844,0.6518501712494891,0.3265505213565332,0.8586017691967861
A_flow_map,0.848,0.6586937976801805,0.32865465279492745,0.8626159264224657
A_flow_map,0.852,0.6656892694364754,0.3307953285092309,0.866701150741411
A_flow_map,0.856,0.6728430173489104,0.33446376352421453,0.8708660207300978
A_flow_map,0.86,0.6801617613997915,0.3407288265699513,0.8751197307881795
A_flow_map,0.864,0.6876525161883242,0.3471619310877797,0.8794721297840685
A_flow_map,0.868,0.6953225971744625,0.353770890306928,0.8839337587359267
A_flow_map,0.872,0.7031796278565089,0.36056399737535777,0.888515886308216
A_flow_map,0.876,0.711231547923059,0.3675500562429163,0.8932305405126721
A_flow_map,0.88,0.7194866222607712,0.3709454864859089,0.8980905345117711
A_flow_map,0.884,0.7279534504950042,0.3753353556646516,0.9031094838123747
A_flow_map,0.888,0.7366409764902271,0.38094923346200893,0.9083018113855017
A_flow_map,0.892,0.745558496940476,0.3866872581209298,0.9136827363331608
A_flow_map,0.896,0.7547156678355238,0.39255432727878975,0.9192682406252586
A_flow_map,0.9,0.7641225071942437,0.3985557278064003,0.9250750071360516
A_flow_map,0.904,0.7737893920124157,0.4046971530698441,0.9311203207215579
A_flow_map,0.908,0.7837270468812197,0.4109847203327621,0.9374219224227718
A_flow_map,0.912,0.7939465212054053,0.420061285215855,0.945911536642083
A_flow_map,0.916,0.8044591514094253,0.43110180697795203,0.9784107200029155
A_flow_map,0.92,0.8152765040070588,0.4424853476000638,1.0030335183912709
A_flow_map,0.924,0.8264102949931216,0.4542282492192192,1.0285841594976375
A_flow_map,0.928,0.8378722807980757,0.46634784203911633,1.0551076697380442
A_flow_map,0.932,0.8496741161751984,0.4788625002373791,1.0826499020054212
A_flow_map,0.936,0.8618271750628785,0.4917916999148411,1.1112570098131993
A_flow_map,0.9400000000000001,0.8743423319264931,0.5051560787733202,1.1409747496077483
A_flow_map,0.9440000000000001,0.8872297036089233,0.5083694282210957,1.171847575870131
A_flow_map,0.9480000000000001,0.9004983555629374,0.5058578010706645,1.2039174910263897
A_flow_map,0.9520000000000001,0.9141559816587039,0.503539169220693,1.2372226118473422
A_flow_map,0.9560000000000001,0.9282085734834119,0.5014400287654166,1.2717954175161164
A_flow_map,0.96,0.9426601027150143,0.49958878696509207,1.3076606539850026
A_flow_map,0.964,0.9575122477489224,0.49801577765776806,1.3448328872726318
A_flow_map,0.968,0.9727642016579967,0.4967532463193397,1.3651943526010712
A_flow_map,0.972,0.9884126006604971,0.4958352985909417,1.376930426608111
A_flow_map,0.976,1.0044516084115211,0.4973138186573045,1.3890537341789955
A_flow_map,0.98,1.020873180229757,0.5014428949814842,1.4015483753842495
A_flow_map,0.984,1.0376675131336706,0.5058380359175211,1.4143901184150527
A_flow_map,0.988,1.0548236649638627,0.5105175782957376,1.4275457311132809
A_flow_map,0.992,1.072330303749667,0.5155002345775614,1.440972708827984
A_flow_map,0.996,1.0901765324264,0.5230909510744371,1.454619556796934
A_flow_map,1.0,1.1083527280464662,0.5325269075066754,1.4684267685033658
A_flow_map,1.004,1.1268513391052692,0.5422731926902411,1.4823285912104247
A_flow_map,1.008,1.1456675957314393,0.5495380843546847,1.496255583511543
A_flow_map,1.012,1.164800099183663,0.559244286487379,1.5101378548175721
A_flow_map,1.016,1.184251264334789,0.568955067345547,1.5239087531171678
A_flow_map,1.02,1.204027590522053,0.5811618237165876,1.5375086646903522
A_flow_map,1.024,1.2241397356235766,0.594562014256552,1.5508885386633842
A_flow_map,1.028,1.2446023709593161,0.6081633196028581,1.5640127707717377
A_flow_map,1.032,1.2654338047427074,0.6142197813476773,1.5768611743652727
A_flow_map,1.036,1.2866553796620341,0.6122634220958355,1.589429909795081
A_flow_map,1.04,1.3082906722680745,0.617153676360749,1.6017313982755343
A_flow_map,1.044,1.3303645429946507,0.6222191502512566,1.6408765975641741
A_flow_map,1.048,1.3529021015544993,0.63121528975264,1.6912674995204993
A_flow_map,1.052,1.3759276612725386,0.6335485040900123,1.7425509750225503
A_flow_map,1.056,1.3994637580334177,0.6332768585348981,1.7946780559540079
A_flow_map,1.06,1.42353030625191,0.6349318087442047,1.8475815718151596
A_flow_map,1.064,1.4481439564515814,0.6429614629342315,1.9011754500495905
A_flow_map,1.068,1.4733177063164573,0.659423262814759,1.9553560590020227
A_flow_map,1.072,1.4990607983108821,0.6781003401266679,2.010005744208501
A_flow_map,1.076,1.5253789113564136,0.6979190310501364,2.0649984402863444
A_flow_map,1.08,1.5522746225945014,0.7188827052488784,2.1202069367271457
A_flow_map,1.084,1.5797480816329992,0.7347224311309386,2.1755110902224644
A_flow_map,1.088,1.6077978100806711,0.7484343140284007,2.2308060774524736
A_flow_map,1.092,1.6364215208270927,0.7626144176874452,2.2860097319430093
A_flow_map,1.096,1.6656168501665618,0.7772687770120765,2.341068134917742
A_flow_map,1.1,1.6953819133506118,0.7924030676788675,2.3959589116741418
A_flow_map,1.104,1.7257156272881418,0.8080225964684183,2.4506920541555104
A_flow_map,1.108,1.7566177854130882,0.8241322863551119,2.505308456338703
A_flow_map,1.112,1.7880889098771409,0.8407366552718868,2.5598766304510505
A_flow_map,1.116,1.820129937014795,0.8578397874636694,2.614488222474373
A_flow_map,1.12,1.8527418086730278,0.8754452963514012,2.669252961610083
A_flow_map,1.124,1.885925043794772,0.8935562778544748,2.724293590924434
A_flow_map,1.1280000000000001,1.9196793542201065,0.9121752531722829,2.7797411812786588
A_flow_map,1.1320000000000001,1.9540033504348926,0.9313041001184856,2.835731071845605
A_flow_map,1.1360000000000001,1.988894361646078,0.948073448465345,2.888170432625408
A_flow_map,1.1400000000000001,2.02434837410043,0.961002824141815,2.9340804228786475
A_flow_map,1.1440000000000001,2.0603600749352964,0.9810435106100919,2.9800926234188134
A_flow_map,1.1480000000000001,2.096922977918946,0.998999749460219,3.0263387757226092
A_flow_map,1.1520000000000001,2.1340296029953065,1.0145515673276124,3.072946927537301
A_flow_map,1.156,2.1716716832149974,1.030411429328653,3.1200399889558454
A_flow_map,1.16,2.2098403787757457,1.0492034562655057,3.1677345402568973
A_flow_map,1.164,2.248526485829966,1.0706120651782594,3.2161398314759646
A_flow_map,1.168,2.287720634452388,1.0924756494453463,3.2653569307716457
A_flow_map,1.172,2.3274134735082597,1.1147899733256892,3.315477994472087
A_flow_map,1.176,2.3675958396974366,1.1375496831847427,3.366585645118729
A_flow_map,1.18,2.408258905266146,1.160748211650821,3.4187524543569063
A_flow_map,1.184,2.4493942963387,1.1793636510253636,3.4720405350232326
A_flow_map,1.188,2.4909941737632417,1.1945375780350111,3.526501251346332
A_flow_map,1.192,2.533051271607202,1.210082649337696,3.582175058054786
A_flow_map,1.196,2.5755588941626373,1.2259971150442404,3.6390914787163053
A_flow_map,1.2,2.6185108786941163,1.2422779901952967,3.697269231227693
A_flow_map,1.204,2.6619015362681395,1.2608243665096572,3.756716504498939
A_flow_map,1.208,2.7057255855758826,1.2746851535572552,3.8174313855194106
A_flow_map,1.212,2.7499780943482337,1.2829212061027047,3.879402430658854
A_flow_map,1.216,2.794654440194845,1.2938818280662012,3.9426093697201035
A_flow_map,1.22,2.8397502983651326,1.3051657477614211,4.007023926355836
A_flow_map,1.224,2.885261659035278,1.3167782104970762,4.072610734347484
A_flow_map,1.228,2.931184872151918,1.3287242458228803,4.139328326186672
A_flow_map,1.232,2.9775167142341283,1.3410086592925594,4.207130168559577
A_flow_map,1.236,3.0242544691825093,1.3536360246247068,4.2759657187659945
A_flow_map,1.24,3.0713960141346823,1.3666106762627643,4.343003410058668
A_flow_map,1.244,3.118939901604143,1.3799367023322235,4.410086437678498
A_flow_map,1.248,3.1668854302788914,1.393617937990145,4.478024064505572
A_flow_map,1.252,3.21523269861528,1.407657959159289,4.546771064034464
A_flow_map,1.256,3.263982637421524,1.4220600766366227,4.616282208634969
A_flow_map,1.26,3.313137019708436,1.4368273305637063,4.686512939353612
A_flow_map,1.264,3.362698447981942,1.4519624852445476,4.757419962530264
A_flow_map,1.268,3.4126703207233433,1.467468024294921,4.828961768797442
A_flow_map,1.272,3.463056780975143,1.4833461461059345,4.901099072600136
A_flow_map,1.276,3.513862650703153,1.499598759603815,4.973795172658772
A_flow_map,1.28,3.5650933549628925,1.5162274802874425,5.0470162357434
A_flow_map,1.284,3.61675483991458,1.5332336265251485,5.120731507707773
A_flow_map,1.288,3.6688534884809663,1.550618216092672,5.194913456946145
A_flow_map,1.292,3.7213960370099506,1.5683819629349833,5.269537856300576
A_flow_map,1.296,3.7743894957717883,1.5865252741358535,5.344583809993177
A_flow_map,1.3,3.8278410755597734,1.605048247080661,5.420033732425459
A_flow_map,1.304,3.881758122125876,1.623950666799893,5.495873285719641
A_flow_map,1.308,3.936148059698978,1.6481003294106695,5.57209128271877
A_flow_map,1.312,3.991018344411612,1.675726298186671,5.648679561856811
A_flow_map,1.316,4.04637642809399,1.7036163875255177,5.7256328398953595
A_flow_map,1.32,4.102229732564436,1.7317640540461383,5.80294854803479
A_flow_map,1.324,4.158585634235617,1.7601647660270954,5.880626656373825
A_flow_map,1.328,4.215451458553003,1.7888159995449253,5.958669491136467
A_flow_map,1.332,4.272834483482479,1.8177171995675092,6.037081548528321
A_flow_map,1.336,4.330741950973452,1.8468697117703712,6.115869308540024
A_flow_map,1.34,4.389181085055786,1.8762766910169122,6.1950410514947825
A_flow_map,1.344,4.448159115000836,1.9059429921044688,6.2423286850333515
A_flow_map,1.348,4.507683301805978,1.9358750476580284,6.279250795287522
A_flow_map,1.352,4.567760966162455,1.9660807370947044,6.3159574484342755
A_flow_map,1.356,4.6283995160459295,1.996569249519755,6.397121921161009
A_flow_map,1.36,4.689606472129254,2.027350942364624,6.4898078175736
A_flow_map,1.364,4.7513894893528335,2.058437196629523,6.572184035249355
A_flow_map,1.368,4.813756373189136,2.0898402688110314,6.654914823130486
A_flow_map,1.372,4.876715089391207,2.1215731390185533,6.730546522650353
A_flow_map,1.3760000000000001,4.940273766305121,2.1536493544308133,6.771742420066741
