model,t,mean_error
linear,2.308,0.9249202062262804
linear,2.312,0.9248366561002221
linear,2.316,0.9248077165161087
linear,2.32,0.9248334833360111
linear,2.324,0.924913986040074
linear,2.328,0.9250491885566416
linear,2.332,0.9252389902017821
linear,2.336,0.9254832267147627
linear,2.34,0.9257816713784109
linear,2.344,0.926134036215941
linear,2.348,0.926539973258542
linear,2.352,0.9269990758806639
linear,2.356,0.9275108802023342
linear,2.36,0.9280748665598347
linear,2.364,0.9286904610475893
linear,2.368,0.9293570371350738
linear,2.372,0.9300739173628928
linear,2.376,0.9308403751219151
linear,2.38,0.9316556365184712
linear,2.384,0.9325188823271979
linear,2.388,0.933429250031194
linear,2.392,0.934385835946825
linear,2.396,0.9353876974278739
linear,2.4,0.9364338551409122
linear,2.404,0.9375232954008172
linear,2.408,0.9386549725524824
linear,2.412,0.9398278113819781
linear,2.416,0.9410407095379197
linear,2.42,0.9422925399416029
linear,2.424,0.9435821531627487
linear,2.428,0.9449083797364517
linear,2.432,0.9462700323963048
linear,2.436,0.9476659081986568
linear,2.44,0.9490947905136261
linear,2.444,0.9505554508598456
linear,2.448,0.9520466505619618
linear,2.452,0.9535671422126318
linear,2.456,0.9551156709241158
linear,2.46,0.9566909753585175
linear,2.464,0.9582917885302011
linear,2.468,0.959916838378813
linear,2.472,0.961564848116607
linear,2.476,0.9632345363592586
linear,2.48,0.9649246170549682
linear,2.484,0.9666337992322809
linear,2.488,0.9683607865925058
linear,2.492,0.9701042769778653
linear,2.496,0.9718629617512873
linear,2.5,0.9736355251280389
linear,2.504,0.9754206435029801
linear,2.508,0.9772169848199846
linear,2.512,0.979023208031873
linear,2.516,0.980837962699912
linear,2.52,0.9826598887814179
linear,2.524,0.9844876166521207
linear,2.528,0.9863197674066155
linear,2.532,0.9881549534753381
linear,2.536,0.9899917795899829
linear,2.54,0.9918288441211306
linear,2.544,0.9936647408020566
linear,2.548,0.9954980608413442
linear,2.552,0.9973273954142072
linear,2.556,0.9991513385085163
linear,2.56,1.0009684900868385
linear,2.564,1.002777459510712
linear,2.568,1.0045768691584762
linear,2.572,1.0063653581538503
linear,2.576,1.0081415861098615
linear,2.58,1.00990423678231
linear,2.584,1.011652021519578
linear,2.588,1.0133836823917883
linear,2.592,1.0150979948827814
linear,2.596,1.0167937700334018
linear,2.6,1.0184698559344374
linear,2.604,1.0201251384820882
linear,2.608,1.0217585413277406
linear,2.612,1.023369024976494
linear,2.616,1.0249555850144187
linear,2.62,1.0265172494719044
linear,2.624,1.0280530753585362
linear,2.628,1.0295621444324832
linear,2.632,1.0310435582932753
linear,2.636,1.0324964329100719
linear,2.64,1.0339198927172386
linear,2.644,1.0353130644246706
linear,2.648,1.0366750707014787
linear,2.652,1.0380050238982197
linear,2.656,1.0393020199749188
linear,2.66,1.0405651327998438
linear,2.664,1.0417934089776333
linear,2.668,1.042985863355238
linear,2.672,1.0441414753404301
linear,2.676,1.0452591861505431
linear,2.68,1.0463378970886867
linear,2.684,1.0473764689209832
linear,2.688,1.0483737224013083
linear,2.692,1.0493284399596539
linear,2.696,1.0502393685367046
linear,2.7,1.051105223510858
linear,2.704,1.051924693625483
linear,2.708,1.052696446784785
linear,2.712,1.0534191365478578
