t,position_error,velocity_error,energy,energy_rel_error,ang_mom_rel_error,radius,radius_true,model,predicted_x,predicted_y,predicted_vx,predicted_vy,truth_x,truth_y,truth_vx,truth_vy
0.8320000000000001,0.04608345437950997,0.3733086371784449,-18.133307424695037,0.0328979885687713,0.020754037927861946,1.041337302782558,1.080303373697312,forest,0.32807008816886335,-0.9883083503721536,6.069852070306262,1.6470631658685422,0.36403648062313104,-1.0171198651080013,5.802032096280199,1.3870020190112955
0.836,0.0451449263904697,0.37961700442642116,-18.076403828198945,0.03593282282929324,0.022332895840240716,1.0443154317395753,1.0828900409968023,forest,0.3517614646653434,-0.9832896790599949,6.022918863127007,1.7826804805265573,0.3871517080159106,-1.011318147701513,5.755156842032041,1.5135846423780857
0.84,0.04404709443854156,0.3850892886203387,-18.018318755486412,0.03903066865183295,0.023967627928674504,1.0475107889739508,1.0854551603382319,forest,0.3753073875719889,-0.9779689247878572,5.972041219686221,1.9167064119615294,0.41007437645434147,-1.0050133884085721,5.70576239617729,1.6385170010185208
0.844,0.043257026860519215,0.39295750075033814,-17.980628066354313,0.04104082269699301,0.025089135853299745,1.0501586896179924,1.0879976171987351,forest,0.3987688345959188,-0.9715022850900517,5.916507915141345,2.054093679453581,0.4327945262310156,-0.9982122585375297,5.653907220250796,1.76176428914369
0.848,0.0423842812073073,0.4022995857473169,-17.935627806498665,0.043440817402981245,0.02642297181283803,1.0528742858357067,1.0905163231289994,forest,0.4221210147233113,-0.9645507299789948,5.858104183978572,2.191588978870998,0.45530243063952874,-0.9909215648397856,5.599649345998474,1.8832935792667482
0.852,0.0413014823649438,0.4097675343122478,-17.87365454839334,0.046746031458249765,0.028201341874478425,1.0559800239295425,1.0930102155514954,forest,0.4451702206135132,-0.9575579802900464,5.7988457053858395,2.323192657838482,0.47758859417143007,-0.9831482421371068,5.543046334113127,2.00307375206623
0.856,0.04048652081308981,0.4171881090541689,-17.822193816694107,0.04949058191286096,0.029693499323237966,1.0587528199890661,1.0954782575411446,forest,0.4679243646306357,-0.9497390814428012,5.737128146103891,2.452814218278282,0.4996437505561844,-0.9748993462278717,5.4841552369732725,2.121075427085294
0.86,0.04032073926112838,0.42622978452945387,-17.794699380188124,0.05095694015768352,0.03052316767902484,1.060678239440765,1.0979194375901657,forest,0.49035188815665925,-0.9405282310512321,5.672773788323043,2.582670880919836,0.5214588606597791,-0.9661820470686211,5.423032565194719,2.237270894396395
0.864,0.039943161454638776,0.4332206477993556,-17.754890192911144,0.05308007986889685,0.03168053857601547,1.0629732014024942,1.10033276935877,forest,0.5124623947325059,-0.93128637963029,5.607163171528441,2.707244877235334,0.54302511025685,-0.9570036222268313,5.35973425780751,2.3516340473460104
0.868,0.03922267387292695,0.43820213382590595,-17.702391471555465,0.05587998933006338,0.03319276373431469,1.0657460177820648,1.1027172914132803,forest,0.5343115422336754,-0.922131091686101,5.539685527197077,2.827203308723481,0.5643339076904575,-0.9473714506003755,5.294315655874391,2.4641403164801705
