system,offset,t_normalised,relative_separation,amplification
projectile,1e-10,0.2932330827067669,4.146945096366519e-11,0.41469450963665194
projectile,1e-10,0.2957393483709273,4.182387772168872e-11,0.4182387772168872
projectile,1e-10,0.29824561403508776,4.217835515557311e-11,0.4217835515557311
projectile,1e-10,0.3007518796992481,4.253273123773577e-11,0.42532731237735766
projectile,1e-10,0.3032581453634085,4.288718333368199e-11,0.4288718333368199
projectile,1e-10,0.3057644110275689,4.324166076753588e-11,0.4324166076753588
projectile,1e-10,0.30827067669172936,4.359606218766622e-11,0.43596062187666224
projectile,1e-10,0.3107769423558897,4.3950539621490717e-11,0.43950539621490714
projectile,1e-10,0.3132832080200501,4.430496637951424e-11,0.4430496637951424
projectile,1e-10,0.3157894736842105,4.4659393137537766e-11,0.4465939313753776
projectile,1e-10,0.31829573934837097,4.5013895909314065e-11,0.45013895909314067
projectile,1e-10,0.3208020050125313,4.536829732944355e-11,0.4536829732944355
projectile,1e-10,0.3233082706766917,4.572272408746685e-11,0.4572272408746685
projectile,1e-10,0.32581453634085217,4.607715084549016e-11,0.46077150845490156
projectile,1e-10,0.3283208020050125,4.6431628279316247e-11,0.46431628279316245
projectile,1e-10,0.3308270676691729,4.678605503733977e-11,0.4678605503733977
projectile,1e-10,0.3333333333333333,4.7140481795363296e-11,0.4714048179536329
projectile,1e-10,0.33583959899749377,4.749495922924428e-11,0.47494959229244277
projectile,1e-10,0.3383458646616541,4.784933531141034e-11,0.4784933531141034
projectile,1e-10,0.3408521303258145,4.820386342109473e-11,0.4820386342109472
projectile,1e-10,0.3433583959899749,4.855818882745739e-11,0.4855818882745739
projectile,1e-10,0.3458646616541354,4.8912716937141777e-11,0.48912716937141776
projectile,1e-10,0.3483709273182957,4.926709301936093e-11,0.4926709301936093
projectile,1e-10,0.3508771929824561,4.962157045318882e-11,0.49621570453188824
projectile,1e-10,0.3533834586466165,4.9975997211212344e-11,0.4997599721121235
projectile,1e-10,0.355889724310777,5.033042396923587e-11,0.5033042396923587
projectile,1e-10,0.3583959899749373,5.0684901403115154e-11,0.5068490140311516
projectile,1e-10,0.3609022556390977,5.103927748528292e-11,0.5103927748528292
projectile,1e-10,0.3634085213032581,5.13938055949673e-11,0.513938055949673
projectile,1e-10,0.3659147869674186,5.1748232352990825e-11,0.5174823235299083
projectile,1e-10,0.3684210526315789,5.210265911101435e-11,0.5210265911101435
projectile,1e-10,0.37092731829573933,5.2457035193231924e-11,0.5245703519323193
projectile,1e-10,0.37343358395989973,5.28115126270614e-11,0.528115126270614
