system,model,t_normalised,relative_error
projectile,linear,0.7236180904522613,1.7225851254054654e-15
projectile,linear,0.7286432160804021,1.7503187753430841e-15
projectile,linear,0.7336683417085427,1.788198824581492e-15
projectile,linear,0.7386934673366834,1.805072318987513e-15
projectile,linear,0.7437185929648241,1.826005838168881e-15
projectile,linear,0.7487437185929648,1.8331749369712783e-15
projectile,linear,0.7537688442211056,1.8782113635269805e-15
projectile,linear,0.7587939698492463,1.8771921073808142e-15
projectile,linear,0.7638190954773869,1.8982642271686664e-15
projectile,linear,0.7688442211055276,1.9146133046360874e-15
projectile,linear,0.7738693467336684,1.9280301129329003e-15
projectile,linear,0.7788944723618091,1.9588988768157382e-15
projectile,linear,0.7839195979899498,1.9807038898844028e-15
projectile,linear,0.7889447236180904,1.9974663843222718e-15
projectile,linear,0.7939698492462312,2.0129167221420474e-15
projectile,linear,0.7989949748743719,2.03214861638222e-15
projectile,linear,0.8040201005025126,2.0499168530266015e-15
projectile,linear,0.8090452261306533,2.0702306896260152e-15
projectile,linear,0.8140703517587939,2.090418403657212e-15
projectile,linear,0.8190954773869347,2.1214336293826706e-15
projectile,linear,0.8241206030150754,2.143770677660486e-15
projectile,linear,0.8291457286432161,2.1480727658673984e-15
projectile,linear,0.8341708542713568,2.176677370307083e-15
projectile,linear,0.8391959798994975,2.2038649277554377e-15
projectile,linear,0.8442211055276382,2.2262724003641135e-15
projectile,linear,0.8492462311557789,2.2370344858909166e-15
projectile,linear,0.8542713567839196,2.2572506978620245e-15
projectile,linear,0.8592964824120604,2.274251834193779e-15
projectile,linear,0.864321608040201,2.2979348918826897e-15
projectile,linear,0.8693467336683417,2.326576770106854e-15
projectile,linear,0.8743718592964824,2.3532706137791206e-15
projectile,linear,0.8793969849246231,2.3788153197194238e-15
projectile,linear,0.8844221105527639,2.3925654195805916e-15
projectile,linear,0.8894472361809045,2.4313133565993526e-15
projectile,linear,0.8944723618090452,2.4441883797295705e-15
projectile,linear,0.8994974874371859,2.443611869363887e-15
projectile,linear,0.9045226130653267,2.4860350744458644e-15
projectile,linear,0.9095477386934674,2.509203598471835e-15
projectile,linear,0.914572864321608,2.530601772819083e-15
projectile,linear,0.9195979899497487,2.5595859648302594e-15
projectile,linear,0.9246231155778895,2.608790569970221e-15
projectile,linear,0.9296482412060302,2.5984572245097243e-15
projectile,linear,0.9346733668341709,2.6177744266069072e-15
projectile,linear,0.9396984924623115,2.650244725526587e-15
projectile,linear,0.9447236180904522,2.7055196192956923e-15
projectile,linear,0.949748743718593,2.7265492937584053e-15
projectile,linear,0.9547738693467337,2.7481260641381524e-15
projectile,linear,0.9597989949748744,2.774817399074132e-15
projectile,linear,0.964824120603015,2.8101675340524827e-15
projectile,linear,0.9698492462311558,2.8404433695584022e-15
projectile,linear,0.9748743718592965,2.8643190056544695e-15
projectile,linear,0.9798994974874372,2.9108599785892644e-15
projectile,linear,0.9849246231155779,2.9073768590135678e-15
projectile,linear,0.9899497487437187,2.961982076446071e-15
projectile,linear,0.9949748743718593,2.99260559739522e-15
projectile,linear,1.0,3.0003732362404286e-15
projectile,poly2,0.0,0.0
projectile,poly2,0.005025125628140704,2.8804713248581318e-12
projectile,poly2,0.010050251256281407,5.680347956720475e-12
projectile,poly2,0.01507537688442211,8.397915168977198e-12
projectile,poly2,0.020100502512562814,1.1031216030599558e-11
projectile,poly2,0.02512562814070352,1.3586145478118685e-11
projectile,poly2,0.03015075376884422,1.6064714636735532e-11
projectile,poly2,0.035175879396984924,1.846464590496986e-11
projectile,poly2,0.04020100502512563,2.0792080207704912e-11
projectile,poly2,0.04522613065326633,2.304915921720775e-11
projectile,poly2,0.05025125628140704,2.5232048866971974e-11
projectile,poly2,0.05527638190954774,2.7349895364930714e-11
projectile,poly2,0.06030150753768844,2.940036193105816e-11
projectile,poly2,0.06532663316582915,3.1383956480988693e-11
projectile,poly2,0.07035175879396985,3.330516365643811e-11
projectile,poly2,0.07537688442211056,3.5164817757976065e-11
projectile,poly2,0.08040201005025126,3.696400448933507e-11
projectile,poly2,0.08542713567839195,3.870494158935367e-11
projectile,poly2,0.09045226130653267,4.038962044890971e-11
projectile,poly2,0.09547738693467336,4.20170882069425e-11
projectile,poly2,0.10050251256281408,4.359303659301686e-11
projectile,poly2,0.10552763819095477,4.511620688501266e-11
projectile,poly2,0.11055276381909548,4.658795822498551e-11
projectile,poly2,0.11557788944723618,4.801129957781812e-11
