model,t,mean,median,q25,q75,escaped_fraction
linear,0.512,0.5500860098095367,0.5112701634053629,0.45420429445399374,0.6302470728800962,0.0
linear,0.516,0.5554237994418822,0.5138412021862264,0.45674382037232736,0.6365549089432199,0.0
linear,0.52,0.5607381893692034,0.5185469778748142,0.46124773873636066,0.6428554709177484,0.0
linear,0.524,0.5660293083669339,0.5232252914867801,0.4664522224407098,0.6491474020493199,0.0
linear,0.528,0.571297141311419,0.5278767527668586,0.4716660724799571,0.6554290718457831,0.0
linear,0.532,0.5765415329308425,0.5325020300395144,0.4748437288239911,0.661698574308005,0.0
linear,0.536,0.5817621932934063,0.5371018457663779,0.47618630493293324,0.672959796319251,0.0
linear,0.54,0.5869587048122715,0.5416769717962053,0.47748484533887137,0.6893981195538598,0.0
linear,0.544,0.5921305305533383,0.5462282243492597,0.47874314050511796,0.7060019869263899,0.0
linear,0.548,0.5972770236391107,0.5507564587807467,0.4799649976876123,0.7227556961087669,0.0
linear,0.552,0.6023974375486191,0.5552625641698442,0.4811542293898171,0.739642781749043,0.0
linear,0.556,0.6074909371191404,0.5597474577819717,0.4823146420600683,0.7538224623526998,0.0
linear,0.56,0.6125566100601731,0.5642120794522619,0.4840222549256959,0.7671947347498238,0.0
linear,0.5640000000000001,0.6175934787940692,0.5686573859377471,0.48593622240846934,0.7805922753153336,0.0
linear,0.5680000000000001,0.6226005124415069,0.573084345284631,0.487831497447554,0.7940024253061698,0.0
linear,0.5720000000000001,0.6275766387743402,0.5765912370435403,0.4897104665931479,0.8074123203079073,0.0
linear,0.5760000000000001,0.6325207559641288,0.5797065516342845,0.49157548817287755,0.8208089636719484,0.0
linear,0.58,0.6374317439625593,0.5828088628226764,0.49342888543455704,0.8341793001562507,0.0
linear,0.584,0.6423084753606388,0.5859003943005515,0.49527293985305454,0.8475102886865059,0.0
linear,0.588,0.6471498255873078,0.5889833359951421,0.4971098846241774,0.8607889731903088,0.0
linear,0.592,0.6519546823250353,0.5920598371015833,0.4990368507841507,0.8679663131313533,0.0
linear,0.596,0.6567219540398281,0.5951319993820373,0.5011175712432477,0.8740479608452124,0.0
linear,0.6,0.6614505775453401,0.5982018707623282,0.5031965713883314,0.8800304342218643,0.0
linear,0.604,0.6661395245447365,0.60127143925451,0.5052753745664054,0.8859106404715211,0.0
linear,0.608,0.6707878071187154,0.6045372569631419,0.5073554297318349,0.8916856011180523,0.0
linear,0.612,0.6753944821526989,0.6091913417091903,0.5094381089420602,0.8973524703965332,0.0
linear,0.616,0.6799586547197178,0.6138398881274386,0.5115247050751205,0.902908551186536,0.0
linear,0.62,0.684479480457105,0.618482889485258,0.5121989001502999,0.9076814979130212,0.0
linear,0.624,0.6889561669940475,0.6231203122243523,0.5124995211850443,0.9099347529209358,0.0
linear,0.628,0.6933879745028492,0.6277520948039217,0.5127748468951916,0.912090566507493,0.0
linear,0.632,0.6977742154590864,0.6323781466874152,0.5130257476133043,0.9141502806384747,0.0
linear,0.636,0.7021142537045916,0.6369983474812053,0.5132530224848445,0.9161152452105223,0.0
linear,0.64,0.7064075029124642,0.6416125462320148,0.5134574017114927,0.9179868211829981,0.0
linear,0.644,0.7106534245552929,0.646220560888406,0.5136395488719948,0.9197663832999432,0.0
linear,0.648,0.714851525476835,0.6508221779301386,0.5141620251424206,0.9214553224249223,0.0
linear,0.652,0.7190013551639781,0.6554171521677324,0.5155216686342455,0.9230550475117454,0.0
linear,0.656,0.7231025028103468,0.6600052067131575,0.5168912544819126,0.9245669872340783,0.0
linear,0.66,0.7271545942559238,0.6645860331212333,0.5182711970495436,0.9259925912967784,0.0
linear,0.664,0.7311572888789944,0.6676281694794524,0.5196618568953808,0.9273333314515098,0.0
linear,0.668,0.7351102765079871,0.6695300139298934,0.5210635441443925,0.9285907022387755,0.0
linear,0.672,0.7390132744117981,0.6714284399119922,0.5224765216879061,0.9297662214780329,0.0
linear,0.676,0.7428660244182381,0.6733244197074842,0.524044689847709,0.9308614305270079,0.0
linear,0.68,0.74666829020158,0.6752188481206747,0.5260465168657139,0.9318778943307294,0.0
linear,0.684,0.7504198547720262,0.6771125431123628,0.5280829441282844,0.9328172012801919,0.0
linear,0.6880000000000001,0.7541205181923902,0.6790062467062798,0.530154151159279,0.9336809628998921,0.0
linear,0.6920000000000001,0.7577700955404583,0.6809006261597474,0.532260262353857,0.9344708133828457,0.0
linear,0.6960000000000001,0.7613684151294653,0.6827962753899336,0.5344013497996198,0.9351884089909978,0.0
linear,0.7000000000000001,0.764915316993827,0.6846937166468211,0.5365774360101286,0.935835427338296,0.0
